id,name_jp,name_cn,name_en,mal_id,website,on_air_date,bgm_image_url
72942,中二病でも恋がしたい！戀 (第2期),中二病也要谈恋爱！恋 (第2期),"Love, Chunibyo & Other Delusions! -Heart Throb- (Season 2)",18671,http://www.anime-chu-2.com/tv2nd/,2014-01-09 00:30:00+09,c8/e4/72942_VniXv
83869,未確認で進行形,未确认进行式,Engaged to the Unidentified,20541,http://mikakunin.jp/,2014-01-09 02:13:00+09,4a/80/83869_vIW6y
80838,桜Trick,樱Trick,Sakura Trick,20047,https://www.tbs.co.jp/anime/sakura/,2014-01-10 01:58:00+09,1c/2f/80838_pAzJ7
74628,ニセコイ (第1期),伪恋 (第1期),Nisekoi (Season 1),18897,https://www.nisekoi.jp/1st/,2014-01-11 23:30:00+09,98/71/74628_8HHlL
84872,魔法科高校の劣等生 (第1期),魔法科高校的劣等生 (第1期),The Irregular at Magic High School (Season 1),20785,https://mahouka.jp/1st/,2014-04-06 00:30:00+09,66/95/84872_22Kz1
75989,ラブライブ！ School Idol Project 第2期,LoveLive! School Idol Project 第2期,Love Live! School Idol Project Season 2,19111,http://lovelive-anime.jp/otonokizaka/,2014-04-06 22:30:00+09,94/2a/75989_ylW5o
88493,一週間フレンズ。,一周的朋友。,One Week Friends,21327,https://oneweekfriends.com/,2014-04-07 00:00:00+09,98/a3/88493_tKAht
89751,マンガ家さんとアシスタントさんと,漫画家与助手,The Comic Artist and His Assistants,21863,http://mangakasan.tv/,2014-04-08 01:05:00+09,4b/e0/89751_4IvUa
79227,ノーゲーム・ノーライフ,NO GAME NO LIFE 游戏人生,No Game No Life,19815,http://ngnl.jp/tv/,2014-04-09 21:30:00+09,54/bd/79227_5005Y
88287,ご注文はうさぎですか？ (第1期),请问您今天要来点兔子吗？ (第1期),Is the Order a Rabbit? (Season 1),21273,https://gochiusa.com/01/,2014-04-10 22:30:00+09,9f/2f/88287_h4xKo
76325,デート・ア・ライブII,约会大作战 第2期,Date A Live II,19163,http://date-a-live-anime.com/1st-2nd/,2014-04-12 01:35:00+09,65/55/76325_8yJ4Y
92382,ソードアート・オンラインII,刀剑神域 第2期,Sword Art Online II,21881,https://www.swordart-online.net/,2014-07-05 23:30:00+09,eb/9f/92382_zJ0gB
100449,月刊少女野崎くん,月刊少女野崎君,Monthly Girls' Nozaki-kun,23289,http://nozakikun.tv/,2014-07-07 01:10:00+09,a0/20/100449_d101j
92836,アオハライド,青春之旅,Blue Spring Ride,21995,http://aoha-anime.com/,2014-07-08 00:00:00+09,47/45/92836_YhO4y
98286,六畳間の侵略者！？,三坪房间的侵略者！？,Invaders of the Rokujyoma!?,22865,http://corona106.tv/,2014-07-12 01:05:00+09,73/b1/98286_Fbe65
103127,デンキ街の本屋さん,电器街的漫画店,Denkigai no Honya-san,24031,http://umanohone.jp/,2014-10-02 22:30:00+09,b7/1b/103127_NWNNQ
100040,天体のメソッド,天体的秩序,Celestial Method,23209,https://sora-no-method.jp/,2014-10-05 22:30:00+09,ee/96/100040_cs2Gg
99538,異能バトルは日常系のなかで,日常系的异能战斗,When Supernatural Battles Became Commonplace,25159,https://inou-anime.com/,2014-10-07 02:05:00+09,e2/1e/99538_khe3t
96977,トリニティセブン 7人の魔書使い,TRINITY SEVEN 七人魔法使,Trinity Seven,25157,https://trinity-7.com/,2014-10-08 01:40:00+09,8f/4d/96977_MWJIv
110467,SHIROBAKO,白箱,SHIROBAKO,25835,http://shirobako-anime.com/,2014-10-09 23:30:00+09,73/26/110467_Fx9tT
100444,四月は君の嘘,四月是你的谎言,Your Lie in April,23273,https://www.kimiuso.jp/,2014-10-10 01:15:00+09,ec/c7/100444_yGsJZ
